date;ipi
1990-01;542.41
1990-02;535.72
1990-03;543.77
1990-04;527.08
1990-05;514.02
1990-06;494.93
1990-07;318.98
1990-08;465.51
1990-09;532.42
1990-10;533.3
1990-11;524.28
1990-12;514.47
1991-01;510.77
1991-02;507.27
1991-03;513.59
1991-04;516.41
1991-05;524.58
1991-06;592.63
1991-07;516.87
1991-08;514.39
1991-09;464.63
1991-10;501.32
1991-11;510.45
1991-12;519.95
1992-01;512.44
1992-02;520.42
1992-03;516.45
1992-04;514.39
1992-05;511.31
1992-06;493.05
1992-07;489.91
1992-08;482.23
1992-09;478.95
1992-10;494.15
1992-11;479.97
1992-12;489.83
1993-01;499.46
1993-02;501.49
1993-03;497.48
1993-04;505.14
1993-05;492.39
1993-06;478.88
1993-07;487.36
1993-08;496.18
1993-09;424.84
1993-10;483.11
1993-11;518.51
1993-12;528.66
1994-01;482.46
1994-02;511.44
1994-03;510.69
1994-04;509.84
1994-05;495.02
1994-06;525.67
1994-07;508.09
1994-08;519.82
1994-09;460.08
1994-10;479.25
1994-11;484.52
1994-12;476.73
1995-01;478.83
1995-02;469.97
1995-03;472.15
1995-04;465.44
1995-05;475.23
1995-06;401.55
1995-07;400.45
1995-08;453.8
1995-09;462.6
1995-10;461.02
1995-11;480.22
1995-12;441.27
1996-01;446.38
1996-02;425.3
1996-03;427.81
1996-04;423.53
1996-05;418.35
1996-06;372.73
1996-07;329.33
1996-08;368.72
1996-09;379.54
1996-10;363.46
1996-11;360.03
1996-12;353.94
1997-01;346.8
1997-02;350.43
1997-03;344.22
1997-04;352.65
1997-05;339.62
1997-06;335.83
1997-07;347.64
1997-08;332.69
1997-09;332.12
1997-10;332.71
1997-11;325.25
1997-12;333.32
1998-01;324.05
1998-02;322.14
1998-03;307.98
1998-04;322.65
1998-05;295.11
1998-06;295.99
1998-07;317.56
1998-08;311.44
1998-09;307.93
1998-10;313.53
1998-11;321.19
1998-12;303.82
1999-01;292.83
1999-02;293.73
1999-03;301.13
1999-04;280.68
1999-05;202.81
1999-06;278.05
1999-07;302.45
1999-08;294.01
1999-09;293.65
1999-10;298.53
1999-11;293.21
1999-12;266.77
2000-01;272.08
2000-02;279.52
2000-03;273.79
2000-04;251.33
2000-05;242.49
2000-06;221.11
2000-07;263.77
2000-08;282.89
2000-09;272.12
2000-10;273.69
2000-11;270.18
2000-12;275.18
2001-01;270.85
2001-02;267.47
2001-03;268.01
2001-04;266.17
2001-05;266.06
2001-06;274.12
2001-07;260.46
2001-08;261.41
2001-09;258.37
2001-10;255.43
2001-11;229.99
2001-12;228.97
2002-01;256.18
2002-02;253.98
2002-03;256.77
2002-04;253.47
2002-05;252.56
2002-06;255.73
2002-07;249.9
2002-08;245.8
2002-09;248.15
2002-10;239.09
2002-11;230.23
2002-12;239.88
2003-01;233.32
2003-02;235.16
2003-03;235.93
2003-04;236.81
2003-05;233.62
2003-06;226.99
2003-07;224.57
2003-08;218.19
2003-09;219.89
2003-10;199.58
2003-11;209.56
2003-12;224.62
2004-01;217.91
2004-02;220.3
2004-03;216.6
2004-04;220.7
2004-05;222.55
2004-06;208.62
2004-07;211.91
2004-08;203.96
2004-09;202.59
2004-10;198.81
2004-11;192.8
2004-12;199.26
2005-01;203.5
2005-02;193.1
2005-03;197.59
2005-04;195.21
2005-05;199.39
2005-06;199.44
2005-07;192.04
2005-08;187.59
2005-09;157.3
2005-10;158.2
2005-11;170.56
2005-12;189.8
2006-01;193.87
2006-02;195.45
2006-03;186.31
2006-04;191.91
2006-05;187.77
2006-06;184.76
2006-07;177.52
2006-08;185.52
2006-09;187.11
2006-10;188.15
2006-11;188.48
2006-12;181.9
2007-01;169.4
2007-02;165.2
2007-03;176.13
2007-04;148.28
2007-05;174.24
2007-06;181.95
2007-07;180.35
2007-08;177.47
2007-09;175.89
2007-10;178.57
2007-11;169.47
2007-12;173.48
2008-01;176.27
2008-02;174.79
2008-03;175.87
2008-04;175.1
2008-05;170.4
2008-06;172.57
2008-07;175.12
2008-08;168.63
2008-09;146.72
2008-10;141.54
2008-11;164.78
2008-12;168.32
2009-01;158.06
2009-02;172.83
2009-03;162.8
2009-04;160.9
2009-05;159.56
2009-06;161.58
2009-07;157.9
2009-08;154.44
2009-09;154.79
2009-10;155.57
2009-11;152.27
2009-12;147.15
2010-01;148.73
2010-02;145.31
2010-03;151.14
2010-04;141.51
2010-05;141.94
2010-06;148.92
2010-07;156.75
2010-08;152.7
2010-09;153.82
2010-10;149.97
2010-11;166.92
2010-12;154.23
2011-01;154.77
2011-02;150.94
2011-03;135.54
2011-04;134.15
2011-05;143.12
2011-06;144.62
2011-07;140.6
2011-08;140.18
2011-09;128.31
2011-10;139.22
2011-11;137.48
2011-12;135.93
2012-01;129.91
2012-02;130.81
2012-03;131.58
2012-04;132.0
2012-05;128.76
2012-06;129.36
2012-07;124.64
2012-08;127.76
2012-09;128.76
2012-10;127.28
2012-11;127.85
2012-12;125.9
2013-01;120.43
2013-02;128.26
2013-03;123.6
2013-04;121.43
2013-05;121.2
2013-06;123.4
2013-07;124.23
2013-08;128.84
2013-09;119.83
2013-10;99.46
2013-11;89.29
2013-12;88.95
2014-01;87.45
2014-02;87.86
2014-03;87.1
2014-04;87.11
2014-05;87.58
2014-06;84.7
2014-07;86.1
2014-08;88.14
2014-09;87.55
2014-10;90.1
2014-11;86.25
2014-12;87.07
2015-01;94.82
2015-02;97.87
2015-03;98.19
2015-04;99.15
2015-05;103.36
2015-06;103.32
2015-07;102.06
2015-08;99.09
2015-09;97.35
2015-10;99.83
2015-11;103.11
2015-12;101.87
2016-01;102.23
2016-02;102.21
2016-03;100.96
2016-04;100.98
2016-05;98.15
2016-06;97.57
2016-07;97.43
2016-08;97.4
2016-09;93.73
2016-10;94.04
2016-11;92.59
2016-12;93.9
2017-01;91.68
2017-02;88.63
2017-03;89.81
2017-04;92.6
2017-05;93.44
2017-06;90.88
2017-07;89.2
2017-08;89.13
2017-09;91.06
2017-10;89.95
2017-11;92.25
2017-12;91.46
2018-01;90.36
2018-02;90.83
2018-03;93.14
2018-04;93.45
2018-05;93.07
2018-06;96.28
2018-07;93.32
2018-08;92.3
2018-09;91.78
2018-10;92.56
2018-11;91.41
2018-12;91.95
2019-01;92.92
2019-02;93.99
2019-03;91.47
2019-04;90.36
2019-05;73.31
2019-06;77.04
2019-07;82.54
2019-08;87.97
2019-09;88.54
2019-10;90.09
2019-11;89.15
2019-12;87.27
2020-01;86.79
2020-02;86.39
2020-03;85.0
2020-04;57.27
2020-05;50.64
2020-06;77.19
2020-07;81.01
2020-08;82.21
2020-09;81.71
2020-10;81.5
2020-11;81.14
2020-12;81.1
2021-01;82.6
2021-02;81.1
2021-03;80.68
